,Server Price,Sever Details
51,$509.99,"New ListingDell PowerEdge R610 Server, 2x X5675 3.06GHz 6 Core, 32GB, 6x 900GB 10k, H700"
52,$789.99,"New ListingDell PowerEdge R610 Server, 2x 3.06 GHz X5675 6 Core, 96GB, 6x 1TB SATA, H700"
53,$469.99,"New ListingDell PowerEdge R610 Server, 2x 3.06 GHz X5675 6 Core, 96GB, 2x 900GB 10k, H700"
54,$99.97,New ListingLOT 3 HP PROLIANT BL460c GEN8 DUAL-SOCKET SERVER BLADE +2*4K1365 3*649940-001
55,$479.99,"HP Proliant DL360 G7 8-Bay, 2x 3.06GHz HexaCore, 128GB RAM, 2x Trays"
56,"$4,375.70",New ListingDELL PowerEdge R620 Server 24-Core 192GB 3x960GB SSD 7x1.2TB Windows'16 Standard
57,$969.99,"New ListingDell PowerEdge R610 Server, 2x X5675 3.06GHz 6 Core, 192GB, 6x 600GB 15k, H700"
58,$987.98,NEW HPE P03686-S01 ProLiant ML110 G10 Server 4108 16GB Gen10 Ht Plg Perf A
59,$689.99,"Dell PowerEdge R720XD 3.5 Server, 2x E5-2620 2.0GHz 6Core, 64GB, 12x Trays, H310"
60,$569.99,"New ListingDell PowerEdge R610 Server, 2x 3.06 GHz X5675 6 Core, 96GB, 2x 1TB SATA, H700"
61,"$1,372.36",New ListingDell PowerEdge R810 2x E7-4850 2.00 Ghz 10-CORE 128GB DDR3 6x300GB 10K PERC H700
62,"$4,084.20",New ListingDELL PowerEdge R620 Server 24-Core 192GB 3x960GB SSD 5x1.2TB Windows'16 Standard
63,"$1,084.60",New ListingDELL PowerEdge R620 Server 1.80Ghz 16-Core 32GB 10x 300GB 15K Energy-Efficient
64,$681.35,"New ListingQNAP TS-563-16G NAS 16 GB Ram spots - 2x Gbps LAN 5x 3,5"" Bay & Tray 48W TDP"
65,"$6,399.00 to $9,299.00",Dell PowerEdge R640 1U Rack Server 2x Xeon Platinum CPU 56 Cores Up to 384GB RAM
66,$944.99,Dell PowerEdge R720 8B SFF 12-core 2.00GHz E5-2620 128GB 8x 300GB H710P 2x PSU
67,"$3,074.40",New ListingDELL R610 Server 12-Core 192GB 2x NEW 800GB SSD 4x 1.2TB Windows 2016 Standard
68,$389.99,"Dell PowerEdge R610 Server 2x 2.93 GHz Six Core, 96GB, 6x Caddy, H700, RPS"
69,$155.00,New ListingDell Poweredge R710 2x2.40Ghz Quad-Core Processor / NO RAM / NO HDD
70,"$1,403.60",New ListingHP ProLiant DL380 G7 Server 2.40Ghz 8-Core 32GB 16x 900GB Energy-Efficient
71,$880.00,New ListingDELL PowerEdge R610 Server 2x 2.93Ghz X5570 QC 96GB 6x 1TB SAS High-End
72,"$1,017.50",New ListingDELL PowerEdge R620 Server 1.80Ghz 16-Core 32GB 2xNEW 800GB SSD Energy-Efficient
73,"$1,148.40",New ListingDell PowerEdge R620 Server 2x2.50Ghz E5-2640 6C 96GB 10x600GB 10K SAS Enterprise
74,"$1,499.99","New ListingQNAP System TS-869U-RP Turbo NAS Server, 8-Bay ,2GB ,16TB (8x 2TB NAS HD's) "
75,$416.90,New ListingDell PowerEdge R710 Server 2x 2.26Ghz E5520 QC 96GB  Mid-Level
76,$287.10,New ListingDell PowerEdge R610 Server 2x 2.26Ghz L5640 6C 32GB  Energy-Efficient
77,"$3,053.60",New ListingDell PowerEdge R620 Server 2x 2.70Ghz E5-2680 8C 96GB 10x 960GB SSD High-End
78,"$1,377.20",New ListingHP ProLiant DL380 G7 Server 2x 2.93Ghz X5670 6C 72GB 16x 1TB High-End
79,$239.80,New ListingDell PowerEdge R610 Server 2x 2.67Ghz X5550 QC 48GB  Enterprise
80,"$2,029.99","Dell PowerEdge R720 2.5"" Server, 2x E5-2690V2 3GHz 10Core, 256GB, 2x 900GB, H710"
81,$712.06,Dell PowerEdge R620 2x Xeon E5-2620 2.00GHz 12-CORES 32GB DDR3 H310 4x600Gb 10K
82,$187.37,"Dualxeon Server 4x2,6ghz HT Cores 2gb ECC SATA RAID F. Internet Cash Server MM"
83,"$1,309.00",New ListingHP ProLiant DL360 G7 Server 2.66Ghz 12-Core 128GB 4x NEW 800GB SSD Enterprise
84,$827.20,New ListingDell PowerEdge R620 Server 2x 2.70Ghz E5-2680 8C 96GB  High-End
85,"$1,105.50",New ListingHP ProLiant DL380 G7 Server 2x 2.80Ghz X5660 6C 128GB 8x 900GB 10K SAS High-End
86,"$1,729.20",DELL PowerEdge R620 Server 2.60Ghz 12-Core 192GB 3x 512GB SSD 5x 1TB Enterprise
87,$663.30,New ListingDell PowerEdge R620 Server 2x 2.50Ghz E5-2640 6C 96GB  Enterprise
88,"$3,193.30",IBM 2072-24c Storwize v3700 DUAL CONTROL ENCLOSURE
89,$248.00 to $984.00,"HP ProLiant DL380 G7 16-Bay server, 2x X56xx 6-Core CPUs, 64GB - 192GB RAM"
90,$987.80,New ListingDell PowerEdge R610 Server 2x 3.33Ghz X5680 6C 96GB 2x 960GB SSD Premium
91,"$3,570.60",New ListingHP ProLiant DL380 G7 Server 2x 2.67Ghz E5640 QC 72GB 16xNEW 800GB SSD Enterprise
92,"$2,296.80",New ListingDELL PowerEdge R720 Server 2.60Ghz 16-Core 128GB 3x 300GB 15K 9x 4TB Enterprise
93,"$1,347.50",New ListingDELL PowerEdge R420 Server 2x 2.40Ghz E5-2440 6C 96GB 8x 1TB SAS High-End
94,$287.10,New ListingHP ProLiant DL380 G7 Server 2x 2.67Ghz E5640 QC 36GB  Enterprise
95,$839.30,New ListingEnterprise HP ProLiant DL360 G7 Server 2x 2.67Ghz E5640 QC 144GB 4x 500GB SAS
96,"$1,185.80",New ListingDELL PowerEdge R420 Server 2x 2.40Ghz E5-2440 6C 96GB 4x 4TB SAS High-End
97,$971.68,"HP DL580 G7 8SFF 4x E7-4870 40 Cores @ 2.4G 256GB RAM 4x PSU, Raid, Rails"
98,"$1,519.99","New ListingDell PowerEdge R630 Server, 2x E5-2630 V3 2.4GHz 8Core, 32GB, 2x 300GB, H730"
99,$289.99,"New ListingDell PowerEdge R610 Server, 2x X5675 3.06GHz 6 Core, 32GB, 4x 300GB 10k, H700"
100,$429.99,"Dell PowerEdge R510 Server, 2x Xeon 2.93 GHz Six Core, 64GB, H700, 12x Tray 2RPS"
101,$829.99,Dell PowerEdge R720 8B SFF 12-core 2.00GHz E5-2620 96GB 4x 500GB HD H710P 2x PSU
102,$239.99,"New ListingDell PowerEdge R610 Server, 2x X5675 3.06GHz 6 Core, 32GB, 4x Caddy, H700, RPS"
103,$439.99,"New ListingDell PowerEdge R610 Server 2x 3.06 GHz Six Core, 64GB, 2x 1TB SATA, H700, RPS"
104,$379.99,"New ListingDell PowerEdge R610 Server 2x 3.06 GHz Six Core, 64GB, 4x 300GB 10k, H700, RPS"
105,$319.99,"New ListingDell PowerEdge R610 Server 2x 3.06 GHz Six Core, 64GB, 4x Caddy, H700, RPS"
106,$469.99,"New ListingDell PowerEdge R610 Server, 2x X5675 3.06GHz 6 Core, 32GB, 6x 900GB 10k, PERC6i"
107,$289.99,"New ListingDell PowerEdge R610 Server, 2x X5675 3.06GHz 6 Core, 32GB, 2x 600GB 10k, H700"
108,$349.99,"New ListingDell PowerEdge R610 Server, 2x X5675 3.06GHz 6 Core, 32GB, 2x 1TB SATA, H700"
109,$579.99,"New ListingDell PowerEdge R610 Server 2x 3.06 GHz Six Core, 64GB, 4x 1TB SATA, H700, RPS"
110,$529.99,"New ListingDell PowerEdge R610 Server 2x 3.06 GHz Six Core, 64GB, 6x 600GB SAS, H700, RPS"
111,"$1,404.70",New ListingHP ProLiant DL380 G7 Server 2x 2.40Ghz E5530 QC 96GB 16x 1TB Mid-Level
112,$286.00,New ListingDell PowerEdge R610 Server 2x 2.26Ghz E5520 QC 32GB 2x 500GB Mid-Level
113,"$1,695.10",New ListingHP ProLiant DL360P G8 Server 2x 2.90Ghz E5-2690 8C 192GB 8x 1TB SAS High-End
114,$449.99,Dell PowerEdge T410 LFF 4-Core Server 2.40GHz E5620 8GB 6x 1TB SAS 6/iR DRPS
115,$982.30,New ListingDELL PowerEdge R620 Server 2x 2.10Ghz E5-2620v2 6C 48GB 10x 500GB SAS Economy
116,"$1,614.46",New ListingDell PowerEdge R720 Server 2x 2.80Ghz E5-2680v2 10C 96GB 8x 900GB 10K High-End
